project,symbol,name,market,price,currency,source,quote_time,fetch_time,market_status,is_stale,stale_reason
energy,00883.HK,中海油H,HK,26.760000228881836,HKD,yfinance,2026-05-18 16:08:00+08:00,2026-05-18 10:47:00.610178+00:00,closed,False,市场已收盘；收盘后/最后更新时间参考价，不可用于盘中做T
energy,601899.SH,紫金矿业A,CN,31.299999237060547,CNY,yfinance,2026-05-18 14:57:00+08:00,2026-05-18 10:47:16.891796+00:00,open,True,交易中价格超过 max_age_seconds，不可用于具体操作建议
energy,601985.SH,中国核电,CN,9.050000190734863,CNY,yfinance,2026-05-18 14:56:00+08:00,2026-05-18 10:47:32.865828+00:00,open,True,交易中价格超过 max_age_seconds，不可用于具体操作建议
energy,003816.SZ,中国广核,CN,4.800000190734863,CNY,yfinance,2026-05-18 14:59:00+08:00,2026-05-18 10:47:48.633848+00:00,open,True,交易中价格超过 max_age_seconds，不可用于具体操作建议
tech,159632.SZ,纳斯达克ETF华安,CN,2.283,CNY,akshare,2026-05-18 15:34:03+08:00,2026-05-18 10:47:49.307772+00:00,closed,False,市场已收盘；收盘后/最后更新时间参考价，不可用于盘中做T
tech,513300.SH,纳斯达克ETF华夏,CN,2.5,CNY,akshare,2026-05-18 16:11:53+08:00,2026-05-18 10:48:17.495706+00:00,closed,False,市场已收盘；收盘后/最后更新时间参考价，不可用于盘中做T
tech,159819.SZ,人工智能ETF易方达,CN,1.96,CNY,akshare,2026-05-18 15:34:21+08:00,2026-05-18 10:48:46.552326+00:00,closed,False,市场已收盘；收盘后/最后更新时间参考价，不可用于盘中做T
tech,515880.SH,通信ETF国泰,CN,1.517,CNY,akshare,2026-05-18 16:11:34+08:00,2026-05-18 10:49:15.718962+00:00,closed,False,市场已收盘；收盘后/最后更新时间参考价，不可用于盘中做T
tech,510300.SH,沪深300ETF华泰柏瑞,CN,4.852,CNY,akshare,2026-05-18 16:11:48+08:00,2026-05-18 10:49:46.424154+00:00,closed,False,市场已收盘；收盘后/最后更新时间参考价，不可用于盘中做T
tech,GOLD_CNY,黄金持仓参考价,MANUAL,1040.0,CNY,manual,2026-05-18 14:03:00+08:00,2026-05-18 10:50:15.043667+00:00,manual,False,manual 价格，已显示录入时间
controller,USD_CNY,美元兑人民币,FX,7.215,CNY,mock,2026-05-18 12:45:00+08:00,2026-05-18 12:50:00+08:00,open,True,交易中价格超过 max_age_seconds，不可用于具体操作建议
controller,HKD_CNY,港币兑人民币,FX,0.925,CNY,mock,2026-05-18 12:45:00+08:00,2026-05-18 12:50:00+08:00,open,True,交易中价格超过 max_age_seconds，不可用于具体操作建议
controller,IXIC,纳斯达克综合指数,US,16835.24,USD,mock,2026-05-18 12:45:00+08:00,2026-05-18 12:50:00+08:00,closed,False,市场已收盘；收盘后/最后更新时间参考价，不可用于盘中做T
